"idWilayah"|"nomorUrut"|"jumlahSuara"|"namaPemilihan"|"namaWilayah"|"namaPropinsi"|"namaKd"|"namaWkd"|"namaKabupatenKota"
"78"|20803|3|23338|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BENGKULU TENGAH"|"BENGKULU TENGAH"|"BENGKULU"|"M. SABRI, S.SOS, M.M"|"NASPIAN"|"BENGKULU TENGAH"
"79"|4362|1|31086|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BIREUEN"|"BIREUEN"|"ACEH"|"H. RUSLAN M. DAUD"|"Drs. H. DJAMALUDDIN IDRIS"|"BIREUEN"
"80"|4362|2|9269|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BIREUEN"|"BIREUEN"|"ACEH"|"DR. H. AMIRUDDIN IDRIS, SE., M.SI"|"DRS. H. RIDWAN KHALID"|"BIREUEN"
"81"|4362|3|60971|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BIREUEN"|"BIREUEN"|"ACEH"|"H. M. YUSUF ABDUL WAHAB"|"dr. PURNAMA SETIA BUDI, Sp.OG"|"BIREUEN"
"82"|4362|4|29934|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BIREUEN"|"BIREUEN"|"ACEH"|"H. KHALILI, SH"|"YUSRI, S.Sos, M.Si, M.S"|"BIREUEN"
"83"|4362|5|6936|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BIREUEN"|"BIREUEN"|"ACEH"|"H. HUSAINI M. AMIN, SE"|"AZWAR, S.Pd"|"BIREUEN"
"84"|4362|6|74650|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BIREUEN"|"BIREUEN"|"ACEH"|"H.SAIFANNUR, S.Sos"|"DR.H.MUZAKKAR  A.GANI, SH,M.Si"|"BIREUEN"
"85"|74941|2|48990|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOALEMO"|"BOALEMO"|"GORONTALO"|"H. DARWIS MORIDU"|"Ir.H. ANAS JUSUF"|"BOALEMO"
"86"|74941|3|32259|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOALEMO"|"BOALEMO"|"GORONTALO"|"UWES AMIR ABUBAKAR, S.H."|"BUYUNG J. PULUHULAWA, S.H."|"BOALEMO"
"87"|65822|1|89091|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOLAANG MONGONDOW"|"BOLAANG MONGONDOW"|"SULAWESI UTARA"|"Dra.Hj. YASTI SOEPREDJO MOKOAGOW"|"YANNY RONNY TUUK"|"BOLAANG MONGONDOW"
"88"|65822|2|48224|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOLAANG MONGONDOW"|"BOLAANG MONGONDOW"|"SULAWESI UTARA"|"Hi. SALIHI MOKODONGAN"|"JEFRI TUMELAP,ST,MT"|"BOLAANG MONGONDOW"
"89"|74018|1|39727|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOMBANA"|"BOMBANA"|"SULAWESI TENGGARA"|"KASRA JARU MUNARA"|"MAN ARFAH"|"BOMBANA"
"90"|74018|2|40993|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BOMBANA"|"BOMBANA"|"SULAWESI TENGGARA"|"H. Tafdil,  SE.,  MM."|"Johan Salim,  SP."|"BOMBANA"
"91"|41165|1|270036|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BREBES"|"BREBES"|"JAWA TENGAH"|"Dr. H. SUSWONO"|"AKHMAD MUSTTAQIN"|"BREBES"
"92"|41165|2|548621|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BREBES"|"BREBES"|"JAWA TENGAH"|"IDZA PRIYANTI, SE"|"NARJO, SH"|"BREBES"
"93"|53814|1|100134|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BULELENG"|"BULELENG"|"BALI"|"Dewa Nyoman Sukrawan"|"I Gede Dharma Wijaya, SE, MM, M.Kes"|"BULELENG"
"94"|53814|2|214630|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BULELENG"|"BULELENG"|"BALI"|"Putu Agus Suradnyana, S.T"|"dr. I Nyoman Sutjidra, Sp.OG"|"BULELENG"
"95"|68309|1|36094|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUOL"|"BUOL"|"SULAWESI TENGAH"|"dr. AMIRUDIN RAUF, Sp.OG,. M.Si"|"H. ABDULLAH BATALIPU. S.Sos.,M.Si"|"BUOL"
"96"|68309|2|8935|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUOL"|"BUOL"|"SULAWESI TENGAH"|"H. EFENDI NONCI"|"SYARMIN DJ. DAIMAROTO"|"BUOL"
"97"|68309|3|32419|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUOL"|"BUOL"|"SULAWESI TENGAH"|"DR. Ir. H. SYAMSUDIN KOLOI, MS"|"Dra. Hj. NURSEHA, M.Si"|"BUOL"
"98"|76651|1|28981|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BURU"|"BURU"|"MALUKU"|"Ir. BAKIR LUMBESSY, MBA"|"AMRULLAH MADANI HENTIHU, SE"|"BURU"
"99"|76651|2|41732|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BURU"|"BURU"|"MALUKU"|"RAMLY I. UMASUGI, S.Pi,MM"|"AMUS BESAN, SH"|"BURU"
"100"|928084|1|5915|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON SELATAN"|"BUTON SELATAN"|"SULAWESI TENGGARA"|"H. SATTAR, S.Pd, M.Si."|"H. M. YASIN WELSON LAJAHA"|"BUTON SELATAN"
"101"|928084|2|15686|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON SELATAN"|"BUTON SELATAN"|"SULAWESI TENGGARA"|"H. MUHAMAD FAIZAL, SE, MS"|"WA ODE HASNIWATI"|"BUTON SELATAN"
"102"|928084|3|17224|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON SELATAN"|"BUTON SELATAN"|"SULAWESI TENGGARA"|"AGUS FEISAL HIDAYAT, S.Sos, M.Si"|"H. LA ODE ARUSANI"|"BUTON SELATAN"
"103"|928084|4|1218|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON SELATAN"|"BUTON SELATAN"|"SULAWESI TENGGARA"|"AGUS SALIM,S.H."|"LA ODE AGUS,S.E."|"BUTON SELATAN"
"104"|928083|1|27647|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON TENGAH"|"BUTON TENGAH"|"SULAWESI TENGGARA"|"SAMAHUDDIN"|"LANTAU"|"BUTON TENGAH"
"105"|928083|2|20143|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - BUTON TENGAH"|"BUTON TENGAH"|"SULAWESI TENGGARA"|"ABDUL MANSUR AMILA"|"MUH. SALEH GANIRU"|"BUTON TENGAH"
"106"|32677|1|248988|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - CILACAP"|"CILACAP"|"JAWA TENGAH"|"TAUFIK NURHIDAYAT"|"Hj. FAIQOH SUBKY, SH.,M.Pd"|"CILACAP"
"107"|32677|2|514618|"Pemilihan Bupati/Walikota dan Wakil Bupati/Walikota - CILACAP"|"CILACAP"|"JAWA TENGAH"|"H. TATTO SUWARTO PAMUJI"|"SYAMSUL AULIYA RAHMAN, S.STP, M.Si"|"CILACAP"
